Date,oof_prediction,pred_z,abs_pred_z,y_next_log_return,target_up,target_correct,Macro_Fast,Market_State
2014-02-17,-0.0010162613016547,-1.2081928266146684,1.2081928266146684,0.0043121079833936,1,0,-0.1804634570151766,sideways_neutral
2014-02-18,-0.0010710900526895,-1.3584056748589926,1.3584056748589926,-0.0030998211137948,0,1,-0.816973165129651,sideways_neutral
2014-02-19,-0.0003409889583029,0.8956859370526586,0.8956859370526586,-0.0026538288037636,0,1,0.1067929651792988,sideways_risk_off
2014-02-20,-0.0010198819081526,-1.1909706954195685,1.1909706954195685,0.005149612288719,1,0,0.1166501512524196,sideways_neutral
2014-02-21,-0.0010710900526895,-1.3302806242627758,1.3302806242627758,0.0,0,0,-0.2089481652848336,sideways_neutral
2014-02-22,-0.0010131236332283,-1.1327342761604062,1.1327342761604062,0.0,0,0,-0.1612622246905957,sideways_neutral
2014-02-23,-0.0010131236332283,-1.1178214945702831,1.1178214945702831,0.0108182443440737,1,0,-0.1616728802601287,sideways_neutral
2014-02-24,-0.0010669818120349,-1.2666670911733515,1.2666670911733515,0.0035057291072953,1,0,-0.1350306225200619,sideways_neutral
2014-02-25,-0.0010580755488428,-1.2212272696574529,1.2212272696574529,-0.0110813123086592,0,1,-0.5161306945461391,sideways_neutral
2014-02-26,-0.0007178860376094,-0.1797055736153059,0.1797055736153059,0.0025566034628609,1,0,-0.5154144054639938,sideways_neutral
2014-02-27,-0.0010163380777364,-1.082432919004801,1.082432919004801,-0.0076894099190991,0,1,-0.5764806234114115,sideways_neutral
2014-02-28,-0.0007685387139613,-0.3198829526258016,0.3198829526258016,0.0,0,0,-0.2309057120913233,sideways_neutral
2014-03-01,-0.001014297086456,-1.065169045955448,1.065169045955448,0.0,0,0,0.5357300725296409,sideways_neutral
2014-03-02,-0.0010131236332283,-1.0494575363562062,1.0494575363562062,0.0214868472283991,1,0,-0.167821763435201,sideways_neutral
2014-03-03,-0.0006517278427846,0.0597473739760734,0.0597473739760734,-0.0091521356751337,0,1,-0.5936090868608519,sideways_risk_off
2014-03-04,-0.0007221971592635,-0.1557130698833511,0.1557130698833511,0.001792309665757,1,0,0.3841585313936811,sideways_neutral
2014-03-05,-0.0010194757461628,-1.0671261480831629,1.0671261480831629,0.0085442032617715,1,0,-0.1436345940871668,sideways_neutral
2014-03-06,-0.001071292933689,-1.2143391695574517,1.2143391695574517,-0.0101123438640704,0,1,0.2923660693208066,sideways_neutral
2014-03-07,-0.0007221971592635,-0.1310867497448091,0.1310867497448091,0.0,0,0,0.5590206070123105,sideways_neutral
2014-03-08,-0.0010162613016547,-1.0345962308056895,1.0345962308056895,0.0,0,0,0.1227003743526787,sideways_neutral
2014-03-09,-0.0007157875757546,-0.1003276966980999,0.1003276966980999,0.0024631831823279,1,0,0.1223578595597084,bull_neutral
2014-03-10,-0.0007334955034168,-0.1545254319914174,0.1545254319914174,0.0037947706942621,1,0,-0.1837215898540923,bull_neutral
2014-03-11,-0.0009997414046854,-0.9801588955903022,0.9801588955903022,0.017521096459094,1,0,0.0487593364909621,bull_risk_off
2014-03-12,-0.0010458885528444,-1.1141436501128834,1.1141436501128834,0.001385525836962,1,0,-0.0352791494079167,bull_risk_off
2014-03-13,-0.0009117282451987,-0.6861508629695159,0.6861508629695159,0.0049433432455922,1,0,-0.4358633575439604,bull_risk_off
2014-03-14,-0.0010141874394914,-0.9999123033367842,0.9999123033367842,0.0,0,0,0.1708860342827682,bull_risk_off
2014-03-15,-0.0009085138006906,-0.6619524674150669,0.6619524674150669,0.0,0,0,-0.0195029848355587,bull_risk_off
2014-03-16,-0.0009085138006906,-0.6575070508757114,0.6575070508757114,-0.0044332904084985,0,1,-0.0179578609501053,bull_risk_off
2014-03-17,-0.0009121344071885,-0.6644674620630016,0.6644674620630016,-0.0101761732336594,0,1,0.2424483498417789,bull_risk_off
2014-03-18,-0.0006132762050717,0.276527323810801,0.276527323810801,-0.013035272593752,0,1,-0.1962245910425849,bull_risk_off
2014-03-19,-0.0006144496582994,0.2714788026331273,0.2714788026331273,-0.0081590511396476,0,1,2.3871803727116334,bull_risk_off
2014-03-20,-0.0006534704028677,0.146841726624313,0.146841726624313,0.004125263678847,1,0,0.3986613337799462,bull_risk_off
2014-03-21,-0.0010141874394914,-0.9988584567823544,0.9988584567823544,0.0,0,0,0.1757586247486307,bull_risk_off
2014-03-22,-0.0009096872539183,-0.6583349780993945,0.6583349780993945,0.0,0,0,0.4324014601936297,bull_risk_off
2014-03-23,-0.000947704106919,-0.7751852121565669,0.7751852121565669,-0.0187373640373195,0,1,0.4283367550869355,bull_risk_off
2014-03-24,-0.0006645390747218,0.13294561378341,0.13294561378341,0.0001525760712996,1,0,0.637302131834804,bull_risk_off
2014-03-25,-0.0007986810853665,-0.2971129013533558,0.2971129013533558,-0.0061190338189109,0,1,0.8555740258751114,bull_neutral
2014-03-26,-0.0009499813837204,-0.7820377597356875,0.7820377597356875,-0.0066972830936647,0,1,-0.1742908745683857,bull_risk_off
2014-03-27,-0.0008291913589936,-0.3878148232806658,0.3878148232806658,-0.0006953077351787,0,1,0.399930057798643,bull_risk_off
2014-03-28,-0.0010824746263802,-1.2043324247291711,1.2043324247291711,0.0,0,0,0.7021550752507575,sideways_neutral
2014-03-29,-0.0010788540198822,-1.1804436591995793,1.1804436591995793,0.0,0,0,0.4406966390708949,sideways_neutral
2014-03-30,-0.0010788540198822,-1.1688446766459748,1.1688446766459748,-0.0080708374660747,0,1,0.436367243665043,sideways_neutral
