Date,y_next_log_return,BB_Middle,Close_EURUSD,Close_Returns,Close_USDJPY,Close_XAUUSD,Distance_From_AllTimeHigh,LogReturn_ZScore,Log_Returns,MACD_Signal,Macro_Fast,Market_State,Pct_From_AllTimeHigh,Return_Percentile,Return_ZScore,Volume_Percentile
2011-09-11,-0.0253675329200421,1831.3299926,1.390414476,0.0,77.50800323,1856.400024,-32.299927000000025,,0.0,31.91913500032603,,bull_risk_off,-0.0171016719637751,,,0.4285714285714285
2011-09-12,0.0092942207584763,1828.90999135,1.360081553,-0.0250484806070009,77.46299744,1809.900024,-78.79992700000003,-2.848682360842173,-0.0253675329200421,30.008862806761133,,bull_risk_off,-0.041721781672244,0.0158730158730158,-2.829744060437107,0.5079365079365079
2011-09-13,-0.0018080978849682,1832.544995,1.366026878,0.0093375461494551,77.18000031,1826.800049,-61.89990200000011,0.9060732743613708,0.0092942207584763,27.90914914202069,,bull_risk_off,-0.032773814584591,0.8928571428571429,0.909361009363281,0.2222222222222222
2011-09-14,-0.0249874188602249,1835.72999255,1.368606925,-0.0018064642607199,76.93199921,1823.5,-65.19995100000006,-0.3251173214688109,-0.0018080978849682,25.68450674240554,,bull_risk_off,-0.0345210741205763,0.2222222222222222,-0.3305978004441571,0.3948412698412698
2011-09-15,0.0187160680852999,1834.94999375,1.374608278,-0.0246778173841513,76.67700195,1778.5,-110.19995100000006,-2.83780607323298,-0.0249874188602249,22.72169195842164,,bull_risk_off,-0.0583469867416754,0.0158730158730158,-2.8187387464369893,0.2936507936507936
2011-09-16,0.0,1835.84999375,1.386904836,0.0188923114984538,76.73400116,1812.099976,-76.59997500000009,1.906233266241507,0.0187160680852999,19.935801332550103,,bull_risk_off,-0.0405569846917416,0.9682539682539684,1.927259735320567,0.3452380952380952
2011-09-17,0.0,1836.74999375,1.386904836,0.0,76.73400116,1812.099976,-76.59997500000009,-0.1206614336977171,0.0,17.361406607632162,,bull_risk_off,-0.0405569846917416,0.4067460317460317,-0.1257485169073934,0.3472222222222222
2011-09-18,-0.0198975225453919,1837.93499135,1.386904836,0.0,76.73400116,1812.099976,-76.59997500000009,-0.1206614336977171,0.0,15.014957284030984,,bull_risk_off,-0.0405569846917416,0.4067460317460317,-0.1257485169073934,0.3492063492063492
2011-09-19,0.0168577545027023,1835.419995,1.370144606,-0.0197008732811769,76.91000366,1776.400024,-112.29992700000004,-2.2427955713182,-0.0198975225453919,12.330590464181125,,bull_risk_off,-0.05945884995684,0.0317460317460317,-2.2342160368498365,0.1130952380952381
2011-09-20,-0.0006090507136075,1834.3249938,1.360562682,0.0170006482729028,76.59600067,1806.599976,-82.09997500000009,1.6860673007751736,0.0168577545027023,10.0288611347563,,bull_risk_off,-0.0434690406787647,0.9603174603174603,1.7023661977785245,0.3055555555555556
2011-09-21,-0.0374123525244408,1833.2999938,1.369394064,-0.0006088652798698,76.46299744,1805.5,-83.19995100000006,-0.1770413222093896,-0.0006090507136075,8.047214748485693,,bull_risk_off,-0.0440514391690159,0.25,-0.182355472018631,0.1587301587301587
2011-09-22,-0.0602545206836645,1826.5749938,1.358603358,-0.0367211570202159,76.53800201,1739.199951,-149.5,-3.957769143270613,-0.0374123525244408,5.293951538290577,,bull_risk_off,-0.07915497637454,0.0079365079365079,-3.9077069022187247,0.1706349206349206
2011-09-23,0.0,1814.76499625,1.34809041,-0.0584751344671582,76.30599976,1637.5,-251.19995100000008,-5.897585805894492,-0.0602545206836645,0.5667551513819995,,bull_risk_off,-0.1330015129544524,0.0039682539682539,-5.773957439076743,0.3015873015873015
2011-09-24,0.0,1802.9549987,1.34809041,0.0,76.30599976,1637.5,-251.19995100000008,-0.0711384498950461,0.0,-5.151148612959502,,sideways_risk_off,-0.1330015129544524,0.4186507936507936,-0.0768660319707966,0.3035714285714285
2011-09-25,-0.0278655800630885,1791.14500115,1.34809041,0.0,76.30599976,1637.5,-251.19995100000008,-0.0711384498950461,0.0,-11.178526094910648,,sideways_risk_off,-0.1330015129544524,0.4186507936507936,-0.0768660319707966,0.3055555555555556
