Date,oof_prediction,pred_z,abs_pred_z,y_next_log_return,target_up,target_correct
2019-06-16,0.0003288869061648,0.010247741364191869,0.010247741364191869,-0.001045262927894,0,0
2019-06-17,-6.0085457536200616e-05,-0.4847036932356714,0.4847036932356714,0.0058839220993386,1,0
2019-06-18,-8.627285802049202e-05,-0.5157207281227597,0.5157207281227597,-0.0014863261027542,0,1
2019-06-19,0.0002874810422764,-0.043673227732462704,0.043673227732462704,0.035291368738463,1,1
2019-06-20,-0.0001667372805743,-0.6213935046823998,0.6213935046823998,0.0023663035168172,1,0
2019-06-21,-0.0003515161419133,-0.862025206240136,0.862025206240136,0.0,0,0
2019-06-22,0.0010627866713926,0.9366365337855044,0.9366365337855044,0.0,0,0
2019-06-23,0.0010627866713926,0.9308740238075925,0.9308740238075925,0.0128805182315262,1,1
2019-06-24,-0.0001710574969821,-0.635336134338555,0.635336134338555,0.0004241304916678,1,0
2019-06-25,0.00096442281376,0.8009118249133178,0.8009118249133178,-0.0023350783651046,0,0
2019-06-26,0.0006252851812125,0.367951256977782,0.367951256977782,-0.0022694704776205,0,0
2019-06-27,0.000999314422819,0.8373132577944707,0.8373132577944707,0.0009225556961996,1,1
2019-06-28,0.0002261181261527,-0.14305454085332725,0.14305454085332725,0.0,0,0
2019-06-29,0.0003502683700817,0.012883704917794338,0.012883704917794338,0.0,0,0
2019-06-30,0.0003502683700817,0.012177549574105188,0.012177549574105188,-0.0172436395305561,0,0
2019-07-01,0.0002517606348938,-0.11271811778292956,0.11271811778292956,0.0136193061510504,1,1
2019-07-02,-0.0001710574969821,-0.646843767312278,0.646843767312278,0.0092832579223558,1,0
2019-07-03,-0.0001539751827092,-0.624978245448152,0.624978245448152,0.0,0,0
2019-07-04,0.0003008761850738,-0.04740378289602738,0.04740378289602738,-0.0149235293315305,0,0
2019-07-05,-0.0004127463656562,-0.9483550619877652,0.9483550619877652,0.0,0,0
2019-07-06,0.0001050111538034,-0.28609056850707526,0.28609056850707526,0.0,0,0
2019-07-07,0.0001050111538034,-0.2849844336830481,0.2849844336830481,0.0002148040279317,1,1
2019-07-08,-6.002559906916521e-05,-0.49274942689609147,0.49274942689609147,0.0003578457722924,1,0
2019-07-09,-8.213924435915203e-05,-0.5187024037164848,0.5187024037164848,0.0089756807938605,1,0
2019-07-10,-0.0001644311809343,-0.6218240572891529,0.6218240572891529,-0.0041216139561517,0,1
2019-07-11,0.0003296042322353,0.005206701389189307,0.005206701389189307,0.0039798040268361,1,1
2019-07-12,-0.0001113544240214,-0.5551678752609788,0.5551678752609788,0.0,0,0
2019-07-13,8.224952669251181e-05,-0.30962659895908645,0.30962659895908645,0.0,0,0
2019-07-14,8.224952669251181e-05,-0.3090010898650535,0.3090010898650535,0.0010633396773234,1,1
2019-07-15,0.0002041759512035,-0.15425546991639058,0.15425546991639058,-0.001560003875542,0,0
2019-07-16,-0.0001099021154805,-0.5513530722064942,0.5513530722064942,0.0085498475248651,1,0
2019-07-17,-0.0001436298619274,-0.5922759738548693,0.5922759738548693,0.0033714486931609,1,0
2019-07-18,2.936838887649572e-05,-0.3724971224551632,0.3724971224551632,-0.0007014590753638,0,0
2019-07-19,-6.315917129114031e-05,-0.4894733587868961,0.4894733587868961,0.0,0,0
2019-07-20,0.0002185737691951,-0.1304756532738003,0.1304756532738003,0.0,0,0
2019-07-21,0.0002185737691951,-0.13060434470002888,0.13060434470002888,0.0001403824014692,1,1
2019-07-22,-7.977288176542341e-05,-0.507409232125732,0.507409232125732,-0.0036550774889631,0,1
2019-07-23,0.0002844034945003,-0.046643122039118315,0.046643122039118315,0.0018995207626846,1,1
2019-07-24,-8.491209130585607e-05,-0.5199824155096217,0.5199824155096217,-0.0062749349413125,0,1
2019-07-25,0.000277361134816,-0.0651439073417124,0.0651439073417124,0.003248114676785,1,1
2019-07-26,-0.0004118728251975,-0.95061569257309,0.95061569257309,0.0,0,0
2019-07-27,-0.0001146326118859,-0.5673462983684061,0.5673462983684061,0.0,0,0
2019-07-28,-0.0001146326118859,-0.5706003845061691,0.5706003845061691,0.0007751496172643,1,0
2019-07-29,0.0001568068570971,-0.22650701906343734,0.22650701906343734,0.0070894728960231,1,1
2019-07-30,-0.0002417506443332,-0.7419735294317348,0.7419735294317348,-0.0025211688485867,0,1
2019-07-31,0.0005145189103746,0.2259845554283466,0.2259845554283466,-0.0036529383788742,0,0
2019-08-01,-0.0002109364830714,-0.7167875519927087,0.7167875519927087,0.0172339531411829,1,0
2019-08-02,-0.0005720382130134,-1.1794101731080175,1.1794101731080175,0.0,0,0
2019-08-03,-0.000415721511919,-0.9717913005273473,0.9717913005273473,0.0,0,0
2019-08-04,-0.0004111643727517,-0.9605271936076673,0.9605271936076673,0.0130577075643267,1,0
2019-08-05,-0.0005502486574485,-1.1335505963486956,1.1335505963486956,0.005311587564542,1,0
2019-08-06,-0.0004954443966888,-1.0572297933870352,1.0572297933870352,0.0234262645201573,1,0
2019-08-07,-0.0005068562248117,-1.065933013870987,1.065933013870987,-0.0063894380434248,0,1
2019-08-08,-0.0001032927020352,-0.5476157812275162,0.5476157812275162,-0.000734712671608,0,1
2019-08-09,-0.0003576721284821,-0.8672993928655102,0.8672993928655102,0.0,0,0
2019-08-10,-0.0003378774392958,-0.837330099441132,0.837330099441132,0.0,0,0
2019-08-11,-0.0003378774392958,-0.8334577728001449,0.8334577728001449,0.0057963938081995,1,0
2019-08-12,-0.0004352655799891,-0.9530713251522656,0.9530713251522656,-0.0020615787850233,0,1
2019-08-13,-0.0004086709139272,-0.9166575398356486,0.9166575398356486,0.0090786701650661,1,0
2019-08-14,-0.0004626707818404,-0.9782564778080056,0.9782564778080056,0.002437788721689,1,0
2019-08-15,-0.000350275256686,-0.8292926214802389,0.8292926214802389,-0.0046832156148439,0,1
2019-08-16,-0.000142441372004,-0.5603007660236946,0.5603007660236946,0.0,0,0
2019-08-17,-0.0003472264008517,-0.8155387725031193,0.8155387725031193,0.0,0,0
2019-08-18,-0.0003472264008517,-0.8108924899808684,0.8108924899808684,-0.0080321557015298,0,1
2019-08-19,-0.0001081465536392,-0.5024677956305421,0.5024677956305421,0.002795310971571,1,0
2019-08-20,-0.0003504041879651,-0.8078463209905536,0.8078463209905536,0.0,0,0
2019-08-21,0.0007233099990807,0.5573250677543735,0.5573250677543735,-0.0048635473057923,0,0
2019-08-22,-0.0001333778382662,-0.5313623526178585,0.5313623526178585,0.0193795057739139,1,0
2019-08-23,-0.0004863106855485,-0.9756082716221836,0.9756082716221836,0.0,0,0
2019-08-24,-0.0003299939844541,-0.7712924223911999,0.7712924223911999,0.0,0,0
2019-08-25,-0.0003299939844541,-0.7670455714776444,0.7670455714776444,-0.0001964866183031,0,1
2019-08-26,-0.000370398296942,-0.81381186932182,0.81381186932182,0.0095850182952597,1,0
2019-08-27,-0.0004692283712757,-0.9354379887297615,0.9354379887297615,-0.0020787008583344,0,1
2019-08-28,-0.0004123338334439,-0.8572350569355901,0.8572350569355901,-0.0073753222868487,0,1
2019-08-29,-0.0001062912312033,-0.4610210180897358,0.4610210180897358,-0.0048594947601439,0,1
2019-08-30,-0.0001252089556064,-0.4858128186287742,0.4858128186287742,0.0,0,0
2019-08-31,-0.0003299939844541,-0.7425741801235521,0.7425741801235521,0.0,0,0
2019-09-01,-0.000326995455286,-0.7342680236772884,0.7342680236772884,0.0,0,0
2019-09-02,-0.000326995455286,-0.7298561013054393,0.7298561013054393,0.0174882421124364,1,0
2019-09-03,-0.0004833121563804,-0.9282058038137155,0.9282058038137155,0.0028422116518765,1,0
2019-09-04,-0.000347405658797,-0.7579263038459558,0.7579263038459558,-0.0227690458444261,0,1
2019-09-05,0.0009779747642934,0.9436983769040519,0.9436983769040519,-0.0060895561996249,0,0
2019-09-06,0.0011094308066121,1.1059007242357755,1.1059007242357755,0.0,0,0
2019-09-07,0.0010283516604887,0.9940032098058296,0.9940032098058296,0.0,0,0
2019-09-08,0.0010283516604887,0.9864993533030092,0.9864993533030092,-0.0026592225019653,0,0
2019-09-09,0.0005490367752197,0.36153195209507116,0.36153195209507116,-0.0079531927990526,0,0
2019-09-10,0.0008452626630919,0.7402199930502874,0.7402199930502874,0.0027473297005026,1,1
2019-09-11,0.0006156965171225,0.4371984145091691,0.4371984145091691,0.0028732284214123,1,1
2019-09-12,-0.0002117696876649,-0.641942017394164,0.641942017394164,-0.005218052423935,0,1
2019-09-13,-0.0007614100394629,-1.3566205047273734,1.3566205047273734,0.0,0,0
2019-09-14,0.0001507235753878,-0.17276974506060708,0.17276974506060708,0.0,0,0
2019-09-15,0.0001507235753878,-0.18060888417525056,0.18060888417525056,0.0081496456401664,1,1
2019-09-16,0.0005381356475575,0.32117589669784763,0.32117589669784763,0.0013296990403536,1,1
2019-09-17,0.0007521380073469,0.5987179040964008,0.5987179040964008,0.001593324388808,1,1
2019-09-18,-0.0013503190095427,-2.2401874505527077,2.2401874505527077,-0.0060547614543769,0,1
2019-09-19,0.0003542913151381,0.059562176559348035,0.059562176559348035,0.0059221151779783,1,1
2019-09-20,0.0005423022419515,0.3060048750569109,0.3060048750569109,0.0,0,0
2019-09-21,0.0009009606779137,0.7875057925826068,0.7875057925826068,0.0,0,0
2019-09-22,0.0009181930943113,0.8044600101124135,0.8044600101124135,0.0108215519918052,1,1
2019-09-23,0.0004693352600351,0.18541398539752624,0.18541398539752624,0.0054977723401868,1,1
2019-09-24,-0.0005145056370514,-1.1823439405378875,1.1823439405378875,-0.0181122614818962,0,1
2019-09-25,-0.0001150002298571,-0.6442316243274349,0.6442316243274349,0.0019255834263029,1,0
