rmse,ic,hit_rate,fold,best_iter,val_start,val_end
0.013897658919163586,1.1100089328178137e-17,0.5481171548117155,1,1,2007-09-06,2011-05-05
0.011923268575694264,-0.012865732680249983,0.47384937238493724,2,12,2011-05-06,2015-01-02
0.008284400234024082,0.0715408219293553,0.4686192468619247,3,6831,2015-01-05,2018-09-03
0.0098954647619976,0.11513792404542378,0.5313807531380753,4,23590,2018-09-04,2022-05-03
0.010062888436374106,0.062019827176250535,0.4895397489539749,5,1915,2022-05-04,2025-12-31
