feature,mean_gain,std_gain,min,max,cv_stability
Macro_Fast,0.01766260602491096,0.01984196659007276,0.0,0.04318351271561947,-0.12338832891928586
EURUSD_Returns,0.01066106591812195,0.012375752209629073,0.0,0.029144574955681263,-0.1608361812824246
MACD_Signal_Norm,0.009482957291111416,0.011332844628162368,0.0,0.02695570291425453,-0.19507481529101423
Price_Over_EMA50,0.005140855487423199,0.0069118544808756685,0.0,0.015321305882420033,-0.34449473502812444
Price_Over_EMA200,0.004053909421772278,0.0057011576992016194,0.0,0.012589783900962742,-0.4063353912761598
Pct_From_AllTimeHigh,0.0033532491497886953,0.004673477226883219,0.0,0.011303369036628652,-0.3937156544010647
Bull_Trend,0.0032728578907057085,0.004245159158232594,0.0,0.01033331083485639,-0.29707980087012964
USDJPY_Returns,0.0031103828875685526,0.004557022669816501,0.0,0.010920593044831506,-0.4650997544161064
Close_Returns,0.003072786485408127,0.0035387372107452283,0.0,0.008212235589732053,-0.15163747169297448
Volume_Percentile,0.003058956374994004,0.004137582857726944,0.0,0.010014729244185006,-0.35261213233971733
LogReturn_ZScore,0.002841840570854648,0.003443114698570314,0.0,0.0078011423565604865,-0.21157869385901096
Return_ZScore,0.0020785728321129184,0.002668161806043493,0.0,0.005758162038674186,-0.2836502436534789
Return_Percentile,0.0017669840823023365,0.002186855718704188,0.0,0.004960281144880341,-0.23761979691122836
BB_PctB,0.0012593682128240857,0.0020365779627290813,0.0,0.004809521961350427,-0.6171412973977153
Log_Returns,0.0009731474867411549,0.0009345454780133149,0.0,0.0020226326961676477,0.0396681588203589
