Date,actual_return,prediction_value,abs_prediction,Bull_Trend,Macro_Fast,win_probability,signal,is_correct
2026-01-01,-0.0025926392560806,0.0017733800357985,0.0017733800357985,0.1395913381963932,-0.9550461934018742,0.6328098835258056,BUY,0
2026-01-02,0.0279976699761175,-1.6931441724772094e-05,1.6931441724772094e-05,0.1388402272949911,-0.5458894521915827,0.554464809690936,BUY,0
2026-01-05,0.010158128512449,-0.0004306863361313,0.0004306863361313,0.1389876763259637,-0.824078276754596,0.5520333124079119,BUY,0
2026-01-06,-0.0073673043579576,-0.0005075958243895,0.0005075958243895,0.13940289536432,-0.5598737170537252,0.5463506597142681,NO SIGNAL,1
2026-01-07,8.998553214307117e-05,0.0004269588696591,0.0004269588696591,0.1394840008862868,-0.7599179474924002,0.5691261926310607,BUY,1
2026-01-08,0.009082749101682,0.0001125123182523,0.0001125123182523,0.139498840834588,-0.2835830715816574,0.5491536575921662,NO SIGNAL,1
2026-01-09,0.0250711358766225,-0.0005413884778848,0.0005413884778848,0.1397512042038739,-0.4586389979320037,0.5482637323557215,NO SIGNAL,0
2026-01-12,-0.0032848475449707,-0.0004497823407314,0.0004497823407314,0.1407740437759617,-0.5785591573385946,0.5436323671094387,NO SIGNAL,1
2026-01-13,0.0080516108297088,0.0002242426893994,0.0002242426893994,0.1415629202219512,-0.7276443973999651,0.5544604434435257,BUY,1
2026-01-14,-0.0021638942125954,-0.0005476612029497,0.0005476612029497,0.1425173977990078,-0.7605563079531246,0.5436817454395395,NO SIGNAL,1
2026-01-15,-0.0060621179774391,8.864534520801302e-05,8.864534520801302e-05,0.1432789570100749,-0.187524873354997,0.5376904356117749,NO SIGNAL,0
2026-01-19,0.0366322934749193,0.0002569297403878,0.0002569297403878,0.1440815641425091,-0.434507063240981,0.5530106622310261,BUY,1
2026-01-20,0.0150553770085056,3.306440509658392e-05,3.306440509658392e-05,0.145606202296123,-0.0527487553067523,0.520132279102167,NO SIGNAL,1
2026-01-21,0.0158104443373971,-3.649938533765327e-05,3.649938533765327e-05,0.1475057372924026,-0.7109759870030026,0.5186833444611464,NO SIGNAL,0
2026-01-22,0.0136371138420282,-0.0005570474274575,0.0005570474274575,0.1497907136263307,-0.1946719588639211,0.4998044188854731,NO SIGNAL,0
