Date,actual_return,prediction_value,abs_prediction,pred_z,abs_pred_z,Bull_Trend,Macro_Fast,BB_PctB,Price_Over_EMA200,is_correct,win_probability
2007-09-06,0.0074477748211922,0.0005362613261695,0.0005362613261695,,,0.0211934264207727,-0.5462502368135153,1.1569626311862171,1.0648289919984972,1,0.5436154137047577
2007-09-07,0.0035610037537085,0.0005362613261695,0.0005362613261695,,,0.0224762406987206,-2.510408914046499,1.1095588466210913,1.0720127772566073,1,0.5670144406956701
2007-09-10,0.0125752620263882,0.0005362613261695,0.0005362613261695,,,0.0237962665795846,-1.6078453804365962,1.0388805740588467,1.0750258122937353,1,0.5470909419392844
2007-09-11,-0.0004213015795122,0.0005362613261695,0.0005362613261695,,,0.0254344421386786,-0.7507871659559198,1.0546706795478316,1.0876706963451406,0,0.5251839458533029
2007-09-12,-0.0033769898039598,0.0005362613261695,0.0005362613261695,,,0.0269659259585445,-0.9892441228969991,0.9676303756097412,1.0862699049862292,0,0.5267106806071037
2007-09-13,0.000140899989885,0.0005362613261695,0.0005362613261695,,,0.0283027272528776,-0.1657878851757463,0.8908912867778783,1.0817186316251055,1,0.5144821310505403
2007-09-14,0.008699384688253,0.0005362613261695,0.0005362613261695,,,0.0295647241396306,-1.2747490386800977,0.8502321108600936,1.0809904412885074,1,0.5321502145460039
2007-09-18,0.0086243576145909,0.0005362613261695,0.0005362613261695,,,0.0323965146010213,-1.3464704438346409,0.8412425398884392,1.088486202958249,1,0.5300406688386429
2007-09-19,0.0143017072418577,0.0005362613261695,0.0005362613261695,,,0.0339584829281951,-0.9189122773146552,0.8708273453044015,1.0968456688396793,1,0.5197920347170506
2007-09-20,-0.0013663070394987,0.0005362613261695,0.0005362613261695,,,0.0358831676174734,0.3437231087314414,0.9342256317700168,1.1113994359655452,0,0.49315596395846634
2007-09-21,0.0009565442094225,0.0005362613261695,0.0005362613261695,,,0.0376505628586773,-1.0689409905912306,0.876284055530554,1.1086697927357572,1,0.5172102784488636
2007-09-24,-0.0006832001586774,0.0005362613261695,0.0005362613261695,,,0.0393424338437365,-0.6074005280687309,0.8459147688427421,1.10852045518203,0,0.5104178827769449
2007-09-25,-0.0045208486830539,0.0005362613261695,0.0005362613261695,,,0.0409094694514447,-0.8905173508992706,0.8118451565162208,1.1065768207377136,0,0.5168535968653681
2007-09-26,0.0060233233633819,0.0005362613261695,0.0005362613261695,,,0.0422354274507038,-0.819649532878971,0.7537715322869774,1.1004730868078405,1,0.519447496324214
2007-09-27,0.0136904552184862,0.0005362613261695,0.0005362613261695,,,0.0436675518692189,-1.3423232118863246,0.7864509158333592,1.105942785514605,1,0.5271889701409944
2007-09-28,0.0059060902069216,0.0005362613261695,0.0005362613261695,,,0.0454469096758008,-0.741547948686625,0.881820332464167,1.1198374087894645,1,0.5138224479111697
2007-10-01,-0.0235623959758621,0.0005362613261695,0.0005362613261695,,,0.0473063712536582,-3.342472756988696,0.9128885770504092,1.1250550514539346,0,0.5556487410255919
2007-10-02,-0.0006853540236274,0.0005362613261695,0.0005362613261695,,,0.0482967747326691,-1.4553547065429548,0.6577595223007113,1.097776110329956,0,0.5348594033259233
2007-10-03,0.011587615365222,0.0005362613261695,0.0005362613261695,,,0.0491947402189064,-0.8501663957944132,0.6341563871148375,1.0959659430862656,1,0.5265746024880316
2007-10-04,0.0047326165782158,0.0005362613261695,0.0005362613261695,,,0.0503933171955083,-1.225037528332637,0.7655118067256209,1.107541096874574,1,0.532638260205752
2007-10-05,-0.0115325884937607,0.0005362613261695,0.0005362613261695,,,0.0516601260653404,-0.1048010986403893,0.8081749827749728,1.1115475536214594,0,0.5157370076742679
2007-10-08,0.0062577222064927,0.0005362613261695,0.0005362613261695,,,0.0524741397934215,-0.8678437264216747,0.6198930930631297,1.0977229897783345,1,0.5292508589559728
2007-10-09,0.0040600947651478,0.0005362613261695,0.0005362613261695,,,0.0534222892034299,-0.6159943718426927,0.6993628268261187,1.103465139774561,1,0.5267373210560223
2007-10-10,0.0146144094537417,0.0005362613261695,0.0005362613261695,,,0.0544281655220938,-0.8611117307953968,0.7445275870619904,1.106765562042874,1,0.5322264037102427
2007-10-11,-0.0034666375862942,0.0005362613261695,0.0005362613261695,,,0.0558267467257014,-0.9440599096051794,0.957447353423728,1.1216855886756445,0,0.5363588045994853
2007-10-12,0.0111569273215051,0.0005362613261695,0.0005362613261695,,,0.0570182080968009,-0.1904305788864022,0.8776979905980857,1.1164951129409386,1,0.5254448037918535
2007-10-15,-0.0001320594249981,0.0005362613261695,0.0005362613261695,,,0.058482990808645,-0.919560626236849,1.0245895949287511,1.127573940801527,0,0.5391194042782287
